filename,file_path,file_size_gb,duration,format,video_codec,width,height,framerate,bitrate,audio_codec,audio_channels,audio_sample_rate
Akira (1988).mkv,/data/media/Movies/Akira (1988)/Akira (1988).mkv,0.78,7468.587000,"matroska,webm",h264,1280,688,23.976023976023978,897673,aac,2,48000
Drowning Mona (2000).mp4,/data/media/Movies/Drowning Mona (2000)/Drowning Mona (2000).mp4,1.49,5759.041667,"mov,mp4,m4a,3gp,3g2,mj2",hevc,1920,1040,24.0,2229610,aac,6,48000
Appleseed (2004).mp4,/data/media/Movies/Appleseed (2004)/Appleseed (2004).mp4,1.55,6328.071750,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1080,23.976023976023978,2105179,aac,2,48000
Appleseed Alpha (2014).mp4,/data/media/Movies/Appleseed Alpha (2014)/Appleseed Alpha (2014).mp4,1.43,5595.669333,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1088,23.976023976023978,2201996,aac,2,48000
Appleseed Ex Machina (2007).mp4,/data/media/Movies/Appleseed Ex Machina (2007)/Appleseed Ex Machina (2007).mp4,1.53,6253.247000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1080,23.976023976023978,2104937,aac,2,48000
Avatar (2009).mkv,/data/media/Movies/Avatar (2009)/Avatar (2009).mkv,35.52,10689.550000,"matroska,webm",h264,1920,1080,23.976023976023978,28542067,dts,6,48000
Hogfather (2007).avi,/data/media/Movies/The Hogfather (2007)/Hogfather (2007).avi,1.37,11117.360000,avi,mpeg4,640,352,25.0,1058053,mp3,2,48000
Avatar The Way of Water (2022).mkv,/data/media/Movies/Avatar - The Way of the Water (2022)/Avatar The Way of Water (2022).mkv,35.40,11558.222000,"matroska,webm",hevc,3840,2072,23.976023976023978,26308001,eac3,8,48000
Avatar The Way of Water (2022).mkv,"/data/media/Movies/Avatar - The Way of the Water (2022)/Sample,Screens/Avatar The Way of Water (2022).mkv",0.22,63.146000,"matroska,webm",hevc,3840,2072,23.976023976023978,29750894,eac3,8,48000
Injustice (2021).mkv,/data/media/Movies/Injustice (2021)/Injustice (2021).mkv,1.40,4715.508000,"matroska,webm",h264,1920,1080,23.976023976023978,2555492,ac3,6,48000
Batman The Dark Knight Returns Part-2.mp4,"/data/media/Movies/Batman - The Dark Knight Returns, Part 2 (2013)/Batman The Dark Knight Returns Part-2.mp4",0.59,4549.378167,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,720,23.976023976023978,1105899,aac,2,48000
Batman Mask of the Phantasm.mp4,/data/media/Movies/Batman Mask of the Phantasm (1993)/Batman Mask of the Phantasm.mp4,1.77,4586.666667,"mov,mp4,m4a,3gp,3g2,mj2",h264,720,576,23.976023976023978,3319392,aac,2,48000
